filename	barcode(s)
unc.edu.006e88ce-ad31-45bf-8da5-802f0e387b3a.1148384.junction_quantification.txt	TCGA-B6-A0RG-01A-11R-A056-07
unc.edu.006e88ce-ad31-45bf-8da5-802f0e387b3a.1150454.rsem.genes.results	TCGA-B6-A0RG-01A-11R-A056-07
unc.edu.006e88ce-ad31-45bf-8da5-802f0e387b3a.1150455.rsem.isoforms.results	TCGA-B6-A0RG-01A-11R-A056-07
unc.edu.006e88ce-ad31-45bf-8da5-802f0e387b3a.1150667.rsem.genes.normalized_results	TCGA-B6-A0RG-01A-11R-A056-07
unc.edu.006e88ce-ad31-45bf-8da5-802f0e387b3a.1150672.rsem.isoforms.normalized_results	TCGA-B6-A0RG-01A-11R-A056-07
unc.edu.006e88ce-ad31-45bf-8da5-802f0e387b3a.1770249.bt.exon_quantification.txt	TCGA-B6-A0RG-01A-11R-A056-07
unc.edu.00ee8acd-0841-4c85-a99a-8966a6828dd7.1148020.junction_quantification.txt	TCGA-BH-A0DS-01A-11R-A056-07
unc.edu.00ee8acd-0841-4c85-a99a-8966a6828dd7.1150156.rsem.genes.results	TCGA-BH-A0DS-01A-11R-A056-07
unc.edu.00ee8acd-0841-4c85-a99a-8966a6828dd7.1150157.rsem.isoforms.results	TCGA-BH-A0DS-01A-11R-A056-07
unc.edu.00ee8acd-0841-4c85-a99a-8966a6828dd7.1150485.rsem.isoforms.normalized_results	TCGA-BH-A0DS-01A-11R-A056-07
unc.edu.00ee8acd-0841-4c85-a99a-8966a6828dd7.1150496.rsem.genes.normalized_results	TCGA-BH-A0DS-01A-11R-A056-07
unc.edu.00ee8acd-0841-4c85-a99a-8966a6828dd7.1770215.bt.exon_quantification.txt	TCGA-BH-A0DS-01A-11R-A056-07
unc.edu.01163f75-8956-40a6-97a5-3c0478d904f8.1167802.junction_quantification.txt	TCGA-BH-A0HK-11A-11R-A089-07
unc.edu.01163f75-8956-40a6-97a5-3c0478d904f8.1171678.rsem.genes.results	TCGA-BH-A0HK-11A-11R-A089-07
unc.edu.01163f75-8956-40a6-97a5-3c0478d904f8.1171679.rsem.isoforms.results	TCGA-BH-A0HK-11A-11R-A089-07
unc.edu.01163f75-8956-40a6-97a5-3c0478d904f8.1171733.rsem.isoforms.normalized_results	TCGA-BH-A0HK-11A-11R-A089-07
unc.edu.01163f75-8956-40a6-97a5-3c0478d904f8.1171738.rsem.genes.normalized_results	TCGA-BH-A0HK-11A-11R-A089-07
unc.edu.01163f75-8956-40a6-97a5-3c0478d904f8.1764873.bt.exon_quantification.txt	TCGA-BH-A0HK-11A-11R-A089-07
unc.edu.01370d42-f75c-4532-9b9c-24ff7302b033.1151943.junction_quantification.txt	TCGA-A2-A0D1-01A-11R-A034-07
unc.edu.01370d42-f75c-4532-9b9c-24ff7302b033.1154002.rsem.genes.results	TCGA-A2-A0D1-01A-11R-A034-07
unc.edu.01370d42-f75c-4532-9b9c-24ff7302b033.1154003.rsem.isoforms.results	TCGA-A2-A0D1-01A-11R-A034-07
unc.edu.01370d42-f75c-4532-9b9c-24ff7302b033.1154013.rsem.genes.normalized_results	TCGA-A2-A0D1-01A-11R-A034-07
unc.edu.01370d42-f75c-4532-9b9c-24ff7302b033.1154016.rsem.isoforms.normalized_results	TCGA-A2-A0D1-01A-11R-A034-07
unc.edu.01370d42-f75c-4532-9b9c-24ff7302b033.1770587.bt.exon_quantification.txt	TCGA-A2-A0D1-01A-11R-A034-07
unc.edu.0172d30c-287c-4f3e-b70c-5760c6dccb7c.1147379.junction_quantification.txt	TCGA-BH-A0HW-01A-11R-A034-07
unc.edu.0172d30c-287c-4f3e-b70c-5760c6dccb7c.1151104.rsem.genes.results	TCGA-BH-A0HW-01A-11R-A034-07
unc.edu.0172d30c-287c-4f3e-b70c-5760c6dccb7c.1151105.rsem.isoforms.results	TCGA-BH-A0HW-01A-11R-A034-07
unc.edu.0172d30c-287c-4f3e-b70c-5760c6dccb7c.1151192.rsem.isoforms.normalized_results	TCGA-BH-A0HW-01A-11R-A034-07
unc.edu.0172d30c-287c-4f3e-b70c-5760c6dccb7c.1151195.rsem.genes.normalized_results	TCGA-BH-A0HW-01A-11R-A034-07
unc.edu.0172d30c-287c-4f3e-b70c-5760c6dccb7c.1769781.bt.exon_quantification.txt	TCGA-BH-A0HW-01A-11R-A034-07
unc.edu.02222fea-f3da-4328-8188-8ef24d1f55e4.1126763.junction_quantification.txt	TCGA-BH-A18U-11A-23R-A12D-07
unc.edu.02222fea-f3da-4328-8188-8ef24d1f55e4.1130009.rsem.genes.results	TCGA-BH-A18U-11A-23R-A12D-07
unc.edu.02222fea-f3da-4328-8188-8ef24d1f55e4.1130010.rsem.isoforms.results	TCGA-BH-A18U-11A-23R-A12D-07
unc.edu.02222fea-f3da-4328-8188-8ef24d1f55e4.1130870.rsem.isoforms.normalized_results	TCGA-BH-A18U-11A-23R-A12D-07
unc.edu.02222fea-f3da-4328-8188-8ef24d1f55e4.1130875.rsem.genes.normalized_results	TCGA-BH-A18U-11A-23R-A12D-07
unc.edu.02222fea-f3da-4328-8188-8ef24d1f55e4.1766463.bt.exon_quantification.txt	TCGA-BH-A18U-11A-23R-A12D-07
unc.edu.0307bd0b-b59a-4996-b89d-612e72652890.1155629.junction_quantification.txt	TCGA-A8-A08B-01A-11R-A00Z-07
unc.edu.0307bd0b-b59a-4996-b89d-612e72652890.1156940.rsem.genes.results	TCGA-A8-A08B-01A-11R-A00Z-07
unc.edu.0307bd0b-b59a-4996-b89d-612e72652890.1156941.rsem.isoforms.results	TCGA-A8-A08B-01A-11R-A00Z-07
unc.edu.0307bd0b-b59a-4996-b89d-612e72652890.1157045.rsem.isoforms.normalized_results	TCGA-A8-A08B-01A-11R-A00Z-07
unc.edu.0307bd0b-b59a-4996-b89d-612e72652890.1157051.rsem.genes.normalized_results	TCGA-A8-A08B-01A-11R-A00Z-07
unc.edu.0307bd0b-b59a-4996-b89d-612e72652890.1771315.bt.exon_quantification.txt	TCGA-A8-A08B-01A-11R-A00Z-07
unc.edu.03403807-a06f-4d79-ac2d-2d494d4fabee.1151763.junction_quantification.txt	TCGA-A8-A07W-01A-11R-A00Z-07
unc.edu.03403807-a06f-4d79-ac2d-2d494d4fabee.1154173.rsem.genes.results	TCGA-A8-A07W-01A-11R-A00Z-07
unc.edu.03403807-a06f-4d79-ac2d-2d494d4fabee.1154174.rsem.isoforms.results	TCGA-A8-A07W-01A-11R-A00Z-07
unc.edu.03403807-a06f-4d79-ac2d-2d494d4fabee.1154197.rsem.isoforms.normalized_results	TCGA-A8-A07W-01A-11R-A00Z-07
unc.edu.03403807-a06f-4d79-ac2d-2d494d4fabee.1154198.rsem.genes.normalized_results	TCGA-A8-A07W-01A-11R-A00Z-07
unc.edu.03403807-a06f-4d79-ac2d-2d494d4fabee.1770634.bt.exon_quantification.txt	TCGA-A8-A07W-01A-11R-A00Z-07
unc.edu.0507f62d-e776-4efb-bd51-dba9d74090bd.1160242.junction_quantification.txt	TCGA-B6-A0WT-01A-11R-A109-07
unc.edu.0507f62d-e776-4efb-bd51-dba9d74090bd.1161794.rsem.genes.results	TCGA-B6-A0WT-01A-11R-A109-07
unc.edu.0507f62d-e776-4efb-bd51-dba9d74090bd.1161795.rsem.isoforms.results	TCGA-B6-A0WT-01A-11R-A109-07
unc.edu.0507f62d-e776-4efb-bd51-dba9d74090bd.1161813.rsem.genes.normalized_results	TCGA-B6-A0WT-01A-11R-A109-07
unc.edu.0507f62d-e776-4efb-bd51-dba9d74090bd.1161814.rsem.isoforms.normalized_results	TCGA-B6-A0WT-01A-11R-A109-07
unc.edu.0507f62d-e776-4efb-bd51-dba9d74090bd.1764076.bt.exon_quantification.txt	TCGA-B6-A0WT-01A-11R-A109-07
unc.edu.05610046-ec77-4592-892a-464a81d55c45.1133997.junction_quantification.txt	TCGA-AO-A12F-01A-11R-A115-07
unc.edu.05610046-ec77-4592-892a-464a81d55c45.1137601.rsem.genes.results	TCGA-AO-A12F-01A-11R-A115-07
unc.edu.05610046-ec77-4592-892a-464a81d55c45.1137602.rsem.isoforms.results	TCGA-AO-A12F-01A-11R-A115-07
unc.edu.05610046-ec77-4592-892a-464a81d55c45.1137765.rsem.genes.normalized_results	TCGA-AO-A12F-01A-11R-A115-07
unc.edu.05610046-ec77-4592-892a-464a81d55c45.1137772.rsem.isoforms.normalized_results	TCGA-AO-A12F-01A-11R-A115-07
unc.edu.05610046-ec77-4592-892a-464a81d55c45.1767293.bt.exon_quantification.txt	TCGA-AO-A12F-01A-11R-A115-07
unc.edu.0584b467-a0f7-45fd-9948-9a01318d34bd.1719754.junction_quantification.txt	TCGA-A8-A08G-01A-11R-A00Z-07
unc.edu.0584b467-a0f7-45fd-9948-9a01318d34bd.1725101.rsem.genes.results	TCGA-A8-A08G-01A-11R-A00Z-07
unc.edu.0584b467-a0f7-45fd-9948-9a01318d34bd.1725102.rsem.isoforms.results	TCGA-A8-A08G-01A-11R-A00Z-07
unc.edu.0584b467-a0f7-45fd-9948-9a01318d34bd.1725206.rsem.genes.normalized_results	TCGA-A8-A08G-01A-11R-A00Z-07
unc.edu.0584b467-a0f7-45fd-9948-9a01318d34bd.1725209.rsem.isoforms.normalized_results	TCGA-A8-A08G-01A-11R-A00Z-07
