	corr	p2tailed	p2tailed_adj	p2tailed_adj_bool	all_criteria_met
A1BG	0.2822358106584644	1.6961049936887062e-07		True	True
A2M	-0.026850426596899384	0.6259176829703057		False	False
A2ML1	0.008979588022093051	0.8705168022106373		False	False
A4GALT	0.2434430860775611	7.233691079263327e-06		True	True
AAAS	0.2979248309551477	3.127449621053115e-08		True	True
AADAC	0.16658491511948081	0.0023254195282883133		True	True
AADACL2	0.013197257193628431	0.8106644267430994		False	False
AADACL3	0.20743908015342086	0.00014068819471491247		True	True
AAGAB	0.38640341961039754	2.888183212967531e-13		True	True
AARS2	0.4347560111893466	9.682251322629681e-17		True	True
AARSD1	0.4020007332488165	2.5156669468524324e-14		True	True
AASDH	0.14288773352294415	0.009131010576685184		True	True
AASDHPPT	0.2659731549365333	8.795801620436958e-07		True	True
AATK	0.05814517824372339	0.29080666018104373		False	False
ABCA10	0.046153914347623684	0.40189629019526907		False	False
ABCA17P	-0.0053670154298787855	0.9223900468898084		False	False
ABCA2	0.051502971364081905	0.3495253101193194		False	False
ABCA6	-0.03851857633364087	0.4842680919335801		False	False
ABCB10	0.3612457744932925	1.137199936419405e-11		True	True
ABCB4	0.05560195264495945	0.3124587317113051		False	False
ABCB6	0.25356535963102406	2.8764175695630247e-06		True	True
ABCC10	0.1807002578751171	0.0009417828050886024		True	True
ABCC11	0.12796301031057655	0.019679680466215016		True	True
ABCC13	0.10611331794934889	0.05340379455929785		False	False
ABCC2	0.17542091550013414	0.0013311124589618466		True	True
ABCC9	0.014365195999425876	0.7942678889966261		False	False
ABCD2	0.016081995816966822	0.7703312703979854		False	False
ABCD4	0.2924337162191127	5.718140014922737e-08		True	True
ABCE1	0.1658005083531124	0.002440379326194676		True	True
ABCF1	0.4491554158793274	6.897540228795031e-18		True	True
ABCF3	0.48819335171168426	2.7602531917257945e-21		True	True
ABCG2	0.08206114333205028	0.13567205284295705		False	False
ABCG4	0.17986575475563313	0.0009953567616603808		True	True
ABHD1	0.1434078816853233	0.008878449838203298		True	True
ABHD10	0.12011425539767041	0.028650695293862792		False	False
ABHD11	0.22327000717400086	4.047311689536289e-05		True	True
ABHD12	0.38159402004234094	5.974735631965465e-13		True	True
ABHD12B	0.04034707908104959	0.4637509156066506		False	False
ABHD13	0.32247644192200914	1.7979182599511182e-09		True	True
ABHD5	0.284716504612502	1.3070972546944802e-07		True	True
ABHD6	0.1595386362130504	0.0035607712754583583		True	True
ABHD8	0.39569895294326746	6.849326309848343e-14		True	True
ABI1	0.46309295513222243	4.734101198142016e-19		True	True
ABI2	0.3212396927229587	2.0892654200998833e-09		True	True
ABI3	0.014941387596413466	0.7862115402166107		False	False
ABT1	0.37835982410517305	9.676532509389272e-13		True	True
ABTB1	0.18122388648509116	0.0009095378124459586		True	True
ACAA1	0.36601585926406	5.806369893255176e-12		True	True
ACAA2	0.1255514775396775	0.022132300744862377		True	True
ACAD11	0.08910141652714632	0.10510201880078382		False	False
ACADL	-0.1269634179041579	0.020666055752549484		True	False
ACADS	0.16158359776532288	0.003151970683448802		True	True
ACADSB	0.10829306628038572	0.048660642173080616		False	False
ACADVL	0.2950270373105585	4.30699992497045e-08		True	True
