Input	Match type	Approved symbol	Approved name	HGNC ID	Location
A2ML1	Approved symbol	A2ML1	alpha-2-macroglobulin-like 1	HGNC:23336	12p13
ABCA1	Approved symbol	ABCA1	ATP-binding cassette, sub-family A (ABC1), member 1	HGNC:29	9q31
ABCA4	Approved symbol	ABCA4	ATP-binding cassette, sub-family A (ABC1), member 4	HGNC:34	1p22
ABCC5	Approved symbol	ABCC5	ATP-binding cassette, sub-family C (CFTR/MRP), member 5	HGNC:56	3q27
ABHD11	Approved symbol	ABHD11	abhydrolase domain containing 11	HGNC:16407	7q11.23
ABHD12	Approved symbol	ABHD12	abhydrolase domain containing 12	HGNC:15868	20p11.21
ABHD14A	Approved symbol	ABHD14A	abhydrolase domain containing 14A	HGNC:24538	3p21.1
ABHD3	Approved symbol	ABHD3	abhydrolase domain containing 3	HGNC:18718	18q11.1
ABLIM1	Approved symbol	ABLIM1	actin binding LIM protein 1	HGNC:78	10q25
ACAA2	Approved symbol	ACAA2	acetyl-CoA acyltransferase 2	HGNC:83	18q21
ACACA	Approved symbol	ACACA	acetyl-CoA carboxylase alpha	HGNC:84	17q12
ACACB	Approved symbol	ACACB	acetyl-CoA carboxylase beta	HGNC:85	12q24.1
ACADM	Approved symbol	ACADM	acyl-CoA dehydrogenase, C-4 to C-12 straight chain	HGNC:89	1p31
ACADSB	Approved symbol	ACADSB	acyl-CoA dehydrogenase, short/branched chain	HGNC:91	10q26.13
ACAP1	Approved symbol	ACAP1	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1	HGNC:16467	17p13.1
ACAT1	Approved symbol	ACAT1	acetyl-CoA acetyltransferase 1	HGNC:93	11q22.3
ACAT2	Approved symbol	ACAT2	acetyl-CoA acetyltransferase 2	HGNC:94	6q25.3
ACAT2	Synonyms	SOAT2	sterol O-acyltransferase 2	HGNC:11178	12q13.13
ACER3	Approved symbol	ACER3	alkaline ceramidase 3	HGNC:16066	11q13.5
ACN9	Previous symbol	SDHAF3	succinate dehydrogenase complex assembly factor 3	HGNC:21752	7q22.1
ACO1	Approved symbol	ACO1	aconitase 1, soluble	HGNC:117	9p21.1
ACOT1	Approved symbol	ACOT1	acyl-CoA thioesterase 1	HGNC:33128	14q24.3
ACOT2	Approved symbol	ACOT2	acyl-CoA thioesterase 2	HGNC:18431	14q24.3
ACOT4	Approved symbol	ACOT4	acyl-CoA thioesterase 4	HGNC:19748	14q24.1
ACOT7	Approved symbol	ACOT7	acyl-CoA thioesterase 7	HGNC:24157	1p36
ACOT9	Approved symbol	ACOT9	acyl-CoA thioesterase 9	HGNC:17152	Xp22.11
ACOX2	Approved symbol	ACOX2	acyl-CoA oxidase 2, branched chain	HGNC:120	3p14.3
ACOX3	Approved symbol	ACOX3	acyl-CoA oxidase 3, pristanoyl	HGNC:121	4p15.3
ACP1	Approved symbol	ACP1	acid phosphatase 1, soluble	HGNC:122	2p25
ACSL1	Approved symbol	ACSL1	acyl-CoA synthetase long-chain family member 1	HGNC:3569	4q35.1
ACSL3	Approved symbol	ACSL3	acyl-CoA synthetase long-chain family member 3	HGNC:3570	2q34-q35
ACSL5	Approved symbol	ACSL5	acyl-CoA synthetase long-chain family member 5	HGNC:16526	10q25.2
ACSS1	Approved symbol	ACSS1	acyl-CoA synthetase short-chain family member 1	HGNC:16091	20p11.21
ACTR3	Approved symbol	ACTR3	ARP3 actin-related protein 3 homolog (yeast)	HGNC:170	2q14.1
ACTR3B	Approved symbol	ACTR3B	ARP3 actin-related protein 3 homolog B (yeast)	HGNC:17256	7q36.1
ACY1	Approved symbol	ACY1	aminoacylase 1	HGNC:177	3p21.2
ACYP2	Approved symbol	ACYP2	acylphosphatase 2, muscle type	HGNC:180	2p16.2
ADAM8	Approved symbol	ADAM8	ADAM metallopeptidase domain 8	HGNC:215	10q26.3
ADAM9	Approved symbol	ADAM9	ADAM metallopeptidase domain 9	HGNC:216	8p11.23
ADAMDEC1	Approved symbol	ADAMDEC1	ADAM-like, decysin 1	HGNC:16299	8p12
ADAMTS1	Approved symbol	ADAMTS1	ADAM metallopeptidase with thrombospondin type 1 motif, 1	HGNC:217	21q21.3
ADAP1	Approved symbol	ADAP1	ArfGAP with dual PH domains 1	HGNC:16486	7p22.3
