Input	Match type	Approved symbol	Approved name	HGNC ID	Location
ABI2	Approved symbol	ABI2	abl-interactor 2	HGNC:24011	2q33
ABL2	Approved symbol	ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase	HGNC:77	1q25.2
ACBD3	Approved symbol	ACBD3	acyl-CoA binding domain containing 3	HGNC:15453	1q41
ACBD6	Approved symbol	ACBD6	acyl-CoA binding domain containing 6	HGNC:23339	1q25.3
ACTR1A	Approved symbol	ACTR1A	ARP1 actin-related protein 1 homolog A, centractin alpha (yeast)	HGNC:167	10q24
ADAM15	Approved symbol	ADAM15	ADAM metallopeptidase domain 15	HGNC:193	1q21.3
ADAR	Approved symbol	ADAR	adenosine deaminase, RNA-specific	HGNC:225	1q21.3
ADIPOR1	Approved symbol	ADIPOR1	adiponectin receptor 1	HGNC:24040	1q32.1
ADORA1	Approved symbol	ADORA1	adenosine A1 receptor	HGNC:262	1q32.1
AGFG2	Approved symbol	AGFG2	ArfGAP with FG repeats 2	HGNC:5177	7q22.1
AGPAT6	Approved symbol	AGPAT6	1-acylglycerol-3-phosphate O-acyltransferase 6	HGNC:20880	8p11.21
AKTIP	Approved symbol	AKTIP	AKT interacting protein	HGNC:16710	16q12.2
ALDH9A1	Approved symbol	ALDH9A1	aldehyde dehydrogenase 9 family, member A1	HGNC:412	1q24.1
AMZ1	Approved symbol	AMZ1	archaelysin family metallopeptidase 1	HGNC:22231	7p22.3
ANGEL2	Approved symbol	ANGEL2	angel homolog 2 (Drosophila)	HGNC:30534	1q32.3
ANKIB1	Approved symbol	ANKIB1	ankyrin repeat and IBR domain containing 1	HGNC:22215	7q21.3
ANKRD13A	Approved symbol	ANKRD13A	ankyrin repeat domain 13A	HGNC:21268	12q24.12
ANKRD32	Approved symbol	ANKRD32	ankyrin repeat domain 32	HGNC:25408	5q15
AP3M2	Approved symbol	AP3M2	adaptor-related protein complex 3, mu 2 subunit	HGNC:570	8p11.2
APH1A	Approved symbol	APH1A	APH1A gamma secretase subunit	HGNC:29509	1q21.2
APOA1BP	Approved symbol	APOA1BP	apolipoprotein A-I binding protein	HGNC:18453	1q21
APOBEC3G	Approved symbol	APOBEC3G	apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3G	HGNC:17357	22q13.1-q13.2
ARF1	Approved symbol	ARF1	ADP-ribosylation factor 1	HGNC:652	1q42.13
ARHGAP17	Approved symbol	ARHGAP17	Rho GTPase activating protein 17	HGNC:18239	16p12.2-p12.1
ARHGAP21	Approved symbol	ARHGAP21	Rho GTPase activating protein 21	HGNC:23725	10p12.31
ARHGEF11	Approved symbol	ARHGEF11	Rho guanine nucleotide exchange factor (GEF) 11	HGNC:14580	1q21
ARHGEF2	Approved symbol	ARHGEF2	Rho/Rac guanine nucleotide exchange factor (GEF) 2	HGNC:682	1q21-q22
ARID5B	Approved symbol	ARID5B	AT rich interactive domain 5B (MRF1-like)	HGNC:17362	10q11.22
ARL13B	Approved symbol	ARL13B	ADP-ribosylation factor-like 13B	HGNC:25419	3q11
ARL8A	Approved symbol	ARL8A	ADP-ribosylation factor-like 8A	HGNC:25192	1q32.1
ARNT	Approved symbol	ARNT	aryl hydrocarbon receptor nuclear translocator	HGNC:700	1q21
ARNTL2	Approved symbol	ARNTL2	aryl hydrocarbon receptor nuclear translocator-like 2	HGNC:18984	12p12.2-p11.2
ARSK	Approved symbol	ARSK	arylsulfatase family, member K	HGNC:25239	5q15
ARV1	Approved symbol	ARV1	ARV1 homolog (S. cerevisiae)	HGNC:29561	1q42.2
ASTE1	Approved symbol	ASTE1	asteroid homolog 1 (Drosophila)	HGNC:25021	3q21.3
ATF6	Approved symbol	ATF6	activating transcription factor 6	HGNC:791	1q23.3
ATMIN	Approved symbol	ATMIN	ATM interactor	HGNC:29034	16q23.2
AVPR1B	Approved symbol	AVPR1B	arginine vasopressin receptor 1B	HGNC:896	1q32
B3GALNT2	Approved symbol	B3GALNT2	beta-1,3-N-acetylgalactosaminyltransferase 2	HGNC:28596	1q42.3
B4GALT3	Approved symbol	B4GALT3	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 3	HGNC:926	1q23.3
BCL2L1	Approved symbol	BCL2L1	BCL2-like 1	HGNC:992	20q11.21
BGLAP	Approved symbol	BGLAP	bone gamma-carboxyglutamate (gla) protein	HGNC:1043	1q22
BIN3	Approved symbol	BIN3	bridging integrator 3	HGNC:1054	8p21.2
BMP1	Approved symbol	BMP1	bone morphogenetic protein 1	HGNC:1067	8p21
BOLA1	Approved symbol	BOLA1	bolA family member 1	HGNC:24263	1q21
BPNT1	Approved symbol	BPNT1	3'(2'), 5'-bisphosphate nucleotidase 1	HGNC:1096	1q42
BTG2	Approved symbol	BTG2	BTG family, member 2	HGNC:1131	1q32
C10orf25	Approved symbol	C10orf25	chromosome 10 open reading frame 25	HGNC:23509	10q11.21
C12orf4	Approved symbol	C12orf4	chromosome 12 open reading frame 4	HGNC:1184	12p13.3
C16orf46	Approved symbol	C16orf46	chromosome 16 open reading frame 46	HGNC:26525	16q23.2
