Input	Match type	Approved symbol	Approved name	HGNC ID	Location
A1BG	Approved symbol	A1BG	alpha-1-B glycoprotein	HGNC:5	19q13.43
ABHD13	Approved symbol	ABHD13	abhydrolase domain containing 13	HGNC:20293	13q33.2
ABI1	Approved symbol	ABI1	abl-interactor 1	HGNC:11320	10p12.1
ABI2	Approved symbol	ABI2	abl-interactor 2	HGNC:24011	2q33
ABL2	Approved symbol	ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase	HGNC:77	1q25.2
ABLIM1	Approved symbol	ABLIM1	actin binding LIM protein 1	HGNC:78	10q25
ACBD3	Approved symbol	ACBD3	acyl-CoA binding domain containing 3	HGNC:15453	1q41
ACBD6	Approved symbol	ACBD6	acyl-CoA binding domain containing 6	HGNC:23339	1q25.3
ACER1	Approved symbol	ACER1	alkaline ceramidase 1	HGNC:18356	19p13.3
ACP6	Approved symbol	ACP6	acid phosphatase 6, lysophosphatidic	HGNC:29609	1q21
ACSF2	Approved symbol	ACSF2	acyl-CoA synthetase family member 2	HGNC:26101	17q21.33
ACTL6A	Approved symbol	ACTL6A	actin-like 6A	HGNC:24124	3q26.33
ACTR1A	Approved symbol	ACTR1A	ARP1 actin-related protein 1 homolog A, centractin alpha (yeast)	HGNC:167	10q24
ACYP1	Approved symbol	ACYP1	acylphosphatase 1, erythrocyte (common) type	HGNC:179	14q24.3
ADAM15	Approved symbol	ADAM15	ADAM metallopeptidase domain 15	HGNC:193	1q21.3
ADAR	Approved symbol	ADAR	adenosine deaminase, RNA-specific	HGNC:225	1q21.3
ADIPOR1	Approved symbol	ADIPOR1	adiponectin receptor 1	HGNC:24040	1q32.1
ADORA1	Approved symbol	ADORA1	adenosine A1 receptor	HGNC:262	1q32.1
ADRBK2	Approved symbol	ADRBK2	adrenergic, beta, receptor kinase 2	HGNC:290	22q11
ADSS	Approved symbol	ADSS	adenylosuccinate synthase	HGNC:292	1q44
AEBP2	Approved symbol	AEBP2	AE binding protein 2	HGNC:24051	12p12.3
AGFG1	Approved symbol	AGFG1	ArfGAP with FG repeats 1	HGNC:5175	2q36
AGFG2	Approved symbol	AGFG2	ArfGAP with FG repeats 2	HGNC:5177	7q22.1
AGGF1	Approved symbol	AGGF1	angiogenic factor with G patch and FHA domains 1	HGNC:24684	5q13.3
AGPAT6	Approved symbol	AGPAT6	1-acylglycerol-3-phosphate O-acyltransferase 6	HGNC:20880	8p11.21
AGTPBP1	Approved symbol	AGTPBP1	ATP/GTP binding protein 1	HGNC:17258	9q21.33
AHCTF1	Approved symbol	AHCTF1	AT hook containing transcription factor 1	HGNC:24618	1q44
AHNAK	Approved symbol	AHNAK	AHNAK nucleoprotein	HGNC:347	11q12-q13
AIDA	Approved symbol	AIDA	axin interactor, dorsalization associated	HGNC:25761	1q41
AK3	Approved symbol	AK3	adenylate kinase 3	HGNC:17376	9p24.1
AK3	Previous symbol	AK4	adenylate kinase 4	HGNC:363	1p31.3
AK7	Approved symbol	AK7	adenylate kinase 7	HGNC:20091	14q32.31
AKAP11	Approved symbol	AKAP11	A kinase (PRKA) anchor protein 11	HGNC:369	13q
AKTIP	Approved symbol	AKTIP	AKT interacting protein	HGNC:16710	16q12.2
ALDH9A1	Approved symbol	ALDH9A1	aldehyde dehydrogenase 9 family, member A1	HGNC:412	1q24.1
ALG10	Approved symbol	ALG10	ALG10, alpha-1,2-glucosyltransferase	HGNC:23162	12p11.21
ALG10B	Approved symbol	ALG10B	ALG10B, alpha-1,2-glucosyltransferase	HGNC:31088	12q12
ALG2	Approved symbol	ALG2	ALG2, alpha-1,3/1,6-mannosyltransferase	HGNC:23159	9q31.1
ALS2	Approved symbol	ALS2	amyotrophic lateral sclerosis 2 (juvenile)	HGNC:443	2q33.1
ANGEL2	Approved symbol	ANGEL2	angel homolog 2 (Drosophila)	HGNC:30534	1q32.3
ANKIB1	Approved symbol	ANKIB1	ankyrin repeat and IBR domain containing 1	HGNC:22215	7q21.3
ANKRD13A	Approved symbol	ANKRD13A	ankyrin repeat domain 13A	HGNC:21268	12q24.12
ANKRD32	Approved symbol	ANKRD32	ankyrin repeat domain 32	HGNC:25408	5q15
ANKRD42	Approved symbol	ANKRD42	ankyrin repeat domain 42	HGNC:26752	11q14.1
ANO7	Approved symbol	ANO7	anoctamin 7	HGNC:31677	2q37.3
ANP32E	Approved symbol	ANP32E	acidic (leucine-rich) nuclear phosphoprotein 32 family, member E	HGNC:16673	1q22
ANXA1	Approved symbol	ANXA1	annexin A1	HGNC:533	9q21.13
ANXA7	Approved symbol	ANXA7	annexin A7	HGNC:545	10q22.2
ANXA9	Approved symbol	ANXA9	annexin A9	HGNC:547	1q21.2
AP1G1	Approved symbol	AP1G1	adaptor-related protein complex 1, gamma 1 subunit	HGNC:555	16q23
AP3M2	Approved symbol	AP3M2	adaptor-related protein complex 3, mu 2 subunit	HGNC:570	8p11.2
APC	Approved symbol	APC	adenomatous polyposis coli	HGNC:583	5q21-q22
APH1A	Approved symbol	APH1A	APH1A gamma secretase subunit	HGNC:29509	1q21.2
APOA1BP	Approved symbol	APOA1BP	apolipoprotein A-I binding protein	HGNC:18453	1q21
APOBEC3G	Approved symbol	APOBEC3G	apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3G	HGNC:17357	22q13.1-q13.2
APOL6	Approved symbol	APOL6	apolipoprotein L, 6	HGNC:14870	22q12.3
AQR	Approved symbol	AQR	aquarius intron-binding spliceosomal factor	HGNC:29513	15q13
ARF1	Approved symbol	ARF1	ADP-ribosylation factor 1	HGNC:652	1q42.13
ARF6	Approved symbol	ARF6	ADP-ribosylation factor 6	HGNC:659	14q21.3
ARHGAP17	Approved symbol	ARHGAP17	Rho GTPase activating protein 17	HGNC:18239	16p12.2-p12.1
ARHGAP21	Approved symbol	ARHGAP21	Rho GTPase activating protein 21	HGNC:23725	10p12.31
ARHGAP4	Approved symbol	ARHGAP4	Rho GTPase activating protein 4	HGNC:674	Xq28
ARHGAP42	Approved symbol	ARHGAP42	Rho GTPase activating protein 42	HGNC:26545	11q22.1
ARHGEF11	Approved symbol	ARHGEF11	Rho guanine nucleotide exchange factor (GEF) 11	HGNC:14580	1q21
ARHGEF2	Approved symbol	ARHGEF2	Rho/Rac guanine nucleotide exchange factor (GEF) 2	HGNC:682	1q21-q22
ARID3B	Approved symbol	ARID3B	AT rich interactive domain 3B (BRIGHT-like)	HGNC:14350	15q24
ARID4B	Approved symbol	ARID4B	AT rich interactive domain 4B (RBP1-like)	HGNC:15550	1q42.3
ARID5B	Approved symbol	ARID5B	AT rich interactive domain 5B (MRF1-like)	HGNC:17362	10q11.22
ARL2BP	Approved symbol	ARL2BP	ADP-ribosylation factor-like 2 binding protein	HGNC:17146	16q13
ARL3	Approved symbol	ARL3	ADP-ribosylation factor-like 3	HGNC:694	10q23.3
ARL4C	Approved symbol	ARL4C	ADP-ribosylation factor-like 4C	HGNC:698	2q37.2
ARL8A	Approved symbol	ARL8A	ADP-ribosylation factor-like 8A	HGNC:25192	1q32.1
ARL8B	Approved symbol	ARL8B	ADP-ribosylation factor-like 8B	HGNC:25564	3p26.1
ARMC9	Approved symbol	ARMC9	armadillo repeat containing 9	HGNC:20730	2q37.1
ARNT	Approved symbol	ARNT	aryl hydrocarbon receptor nuclear translocator	HGNC:700	1q21
ARNTL2	Approved symbol	ARNTL2	aryl hydrocarbon receptor nuclear translocator-like 2	HGNC:18984	12p12.2-p11.2
ARPC1A	Approved symbol	ARPC1A	actin related protein 2/3 complex, subunit 1A, 41kDa	HGNC:703	7q22.1
ARPC2	Approved symbol	ARPC2	actin related protein 2/3 complex, subunit 2, 34kDa	HGNC:705	2q36.1
ARPC5	Approved symbol	ARPC5	actin related protein 2/3 complex, subunit 5, 16kDa	HGNC:708	1q
ARSK	Approved symbol	ARSK	arylsulfatase family, member K	HGNC:25239	5q15
ARV1	Approved symbol	ARV1	ARV1 homolog (S. cerevisiae)	HGNC:29561	1q42.2
ASCC1	Approved symbol	ASCC1	activating signal cointegrator 1 complex subunit 1	HGNC:24268	10q22.1
ASH1L	Approved symbol	ASH1L	ash1 (absent, small, or homeotic)-like (Drosophila)	HGNC:19088	1q22
ASTE1	Approved symbol	ASTE1	asteroid homolog 1 (Drosophila)	HGNC:25021	3q21.3
ATF1	Approved symbol	ATF1	activating transcription factor 1	HGNC:783	12q13
ATF1	Synonyms	GDNF	glial cell derived neurotrophic factor	HGNC:4232	5p13.1-p12
ATF6	Approved symbol	ATF6	activating transcription factor 6	HGNC:791	1q23.3
ATG2B	Approved symbol	ATG2B	autophagy related 2B	HGNC:20187	14q32.31
ATG7	Approved symbol	ATG7	autophagy related 7	HGNC:16935	3p25.3-p25.2
ATMIN	Approved symbol	ATMIN	ATM interactor	HGNC:29034	16q23.2
ATP1B1	Approved symbol	ATP1B1	ATPase, Na+/K+ transporting, beta 1 polypeptide	HGNC:804	1q24.2
ATP2B4	Approved symbol	ATP2B4	ATPase, Ca++ transporting, plasma membrane 4	HGNC:817	1q32.1
ATP5C1	Approved symbol	ATP5C1	ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1	HGNC:833	10p14
ATP6V1H	Approved symbol	ATP6V1H	ATPase, H+ transporting, lysosomal 50/57kDa, V1 subunit H	HGNC:18303	8q11.2
AUH	Approved symbol	AUH	AU RNA binding protein/enoyl-CoA hydratase	HGNC:890	9q22
AURKC	Approved symbol	AURKC	aurora kinase C	HGNC:11391	19q13.43
AVPR1B	Approved symbol	AVPR1B	arginine vasopressin receptor 1B	HGNC:896	1q32
