Input	Match type	Approved symbol	Approved name	HGNC ID	Location
A2ML1	Approved symbol	A2ML1	alpha-2-macroglobulin-like 1	HGNC:23336	12p13
AACS	Approved symbol	AACS	acetoacetyl-CoA synthetase	HGNC:21298	12q24.31
AADAT	Approved symbol	AADAT	aminoadipate aminotransferase	HGNC:17929	4q33
ABAT	Approved symbol	ABAT	4-aminobutyrate aminotransferase	HGNC:23	16p13.2
ABCA1	Approved symbol	ABCA1	ATP-binding cassette, sub-family A (ABC1), member 1	HGNC:29	9q31
ABCA12	Approved symbol	ABCA12	ATP-binding cassette, sub-family A (ABC1), member 12	HGNC:14637	2q34
ABCA3	Approved symbol	ABCA3	ATP-binding cassette, sub-family A (ABC1), member 3	HGNC:33	16p13.3
ABCA4	Approved symbol	ABCA4	ATP-binding cassette, sub-family A (ABC1), member 4	HGNC:34	1p22
ABCB6	Approved symbol	ABCB6	ATP-binding cassette, sub-family B (MDR/TAP), member 6 (Langereis blood group)	HGNC:47	2q36
ABCB9	Approved symbol	ABCB9	ATP-binding cassette, sub-family B (MDR/TAP), member 9	HGNC:50	12q24
ABCC3	Approved symbol	ABCC3	ATP-binding cassette, sub-family C (CFTR/MRP), member 3	HGNC:54	17q21
ABCC5	Approved symbol	ABCC5	ATP-binding cassette, sub-family C (CFTR/MRP), member 5	HGNC:56	3q27
ABHD11	Approved symbol	ABHD11	abhydrolase domain containing 11	HGNC:16407	7q11.23
ABHD12	Approved symbol	ABHD12	abhydrolase domain containing 12	HGNC:15868	20p11.21
ABHD14A	Approved symbol	ABHD14A	abhydrolase domain containing 14A	HGNC:24538	3p21.1
ABHD3	Approved symbol	ABHD3	abhydrolase domain containing 3	HGNC:18718	18q11.1
ABLIM1	Approved symbol	ABLIM1	actin binding LIM protein 1	HGNC:78	10q25
ACAA2	Approved symbol	ACAA2	acetyl-CoA acyltransferase 2	HGNC:83	18q21
ACACA	Approved symbol	ACACA	acetyl-CoA carboxylase alpha	HGNC:84	17q12
ACADM	Approved symbol	ACADM	acyl-CoA dehydrogenase, C-4 to C-12 straight chain	HGNC:89	1p31
ACADSB	Approved symbol	ACADSB	acyl-CoA dehydrogenase, short/branched chain	HGNC:91	10q26.13
ACAP1	Approved symbol	ACAP1	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1	HGNC:16467	17p13.1
ACAT1	Approved symbol	ACAT1	acetyl-CoA acetyltransferase 1	HGNC:93	11q22.3
ACAT2	Approved symbol	ACAT2	acetyl-CoA acetyltransferase 2	HGNC:94	6q25.3
ACAT2	Synonyms	SOAT2	sterol O-acyltransferase 2	HGNC:11178	12q13.13
ACER3	Approved symbol	ACER3	alkaline ceramidase 3	HGNC:16066	11q13.5
ACN9	Previous symbol	SDHAF3	succinate dehydrogenase complex assembly factor 3	HGNC:21752	7q22.1
ACO1	Approved symbol	ACO1	aconitase 1, soluble	HGNC:117	9p21.1
ACOT1	Approved symbol	ACOT1	acyl-CoA thioesterase 1	HGNC:33128	14q24.3
ACOT2	Approved symbol	ACOT2	acyl-CoA thioesterase 2	HGNC:18431	14q24.3
ACOT4	Approved symbol	ACOT4	acyl-CoA thioesterase 4	HGNC:19748	14q24.1
ACOT7	Approved symbol	ACOT7	acyl-CoA thioesterase 7	HGNC:24157	1p36
ACOT9	Approved symbol	ACOT9	acyl-CoA thioesterase 9	HGNC:17152	Xp22.11
ACOX2	Approved symbol	ACOX2	acyl-CoA oxidase 2, branched chain	HGNC:120	3p14.3
ACOX3	Approved symbol	ACOX3	acyl-CoA oxidase 3, pristanoyl	HGNC:121	4p15.3
ACP1	Approved symbol	ACP1	acid phosphatase 1, soluble	HGNC:122	2p25
ACSF2	Approved symbol	ACSF2	acyl-CoA synthetase family member 2	HGNC:26101	17q21.33
ACSL1	Approved symbol	ACSL1	acyl-CoA synthetase long-chain family member 1	HGNC:3569	4q35.1
ACSL3	Approved symbol	ACSL3	acyl-CoA synthetase long-chain family member 3	HGNC:3570	2q34-q35
ACSL5	Approved symbol	ACSL5	acyl-CoA synthetase long-chain family member 5	HGNC:16526	10q25.2
ACSS1	Approved symbol	ACSS1	acyl-CoA synthetase short-chain family member 1	HGNC:16091	20p11.21
ACTB	Approved symbol	ACTB	actin, beta	HGNC:132	7p22
ACTR3	Approved symbol	ACTR3	ARP3 actin-related protein 3 homolog (yeast)	HGNC:170	2q14.1
ACTR3B	Approved symbol	ACTR3B	ARP3 actin-related protein 3 homolog B (yeast)	HGNC:17256	7q36.1
ACY1	Approved symbol	ACY1	aminoacylase 1	HGNC:177	3p21.2
ACYP2	Approved symbol	ACYP2	acylphosphatase 2, muscle type	HGNC:180	2p16.2
ADAM9	Approved symbol	ADAM9	ADAM metallopeptidase domain 9	HGNC:216	8p11.23
ADAMDEC1	Approved symbol	ADAMDEC1	ADAM-like, decysin 1	HGNC:16299	8p12
ADAMTS1	Approved symbol	ADAMTS1	ADAM metallopeptidase with thrombospondin type 1 motif, 1	HGNC:217	21q21.3
ADAR	Approved symbol	ADAR	adenosine deaminase, RNA-specific	HGNC:225	1q21.3
ADCK3	Approved symbol	ADCK3	aarF domain containing kinase 3	HGNC:16812	1q42.11
ADCY6	Approved symbol	ADCY6	adenylate cyclase 6	HGNC:237	12q12-q13
ADCY9	Approved symbol	ADCY9	adenylate cyclase 9	HGNC:240	16p13.3
ADD3	Approved symbol	ADD3	adducin 3 (gamma)	HGNC:245	10q25.2
ADIPOR2	Approved symbol	ADIPOR2	adiponectin receptor 2	HGNC:24041	12p13
ADPRHL1	Approved symbol	ADPRHL1	ADP-ribosylhydrolase like 1	HGNC:21303	13q34
ADRB2	Approved symbol	ADRB2	adrenoceptor beta 2, surface	HGNC:286	5q31-q32
ADSS	Approved symbol	ADSS	adenylosuccinate synthase	HGNC:292	1q44
ADSSL1	Approved symbol	ADSSL1	adenylosuccinate synthase like 1	HGNC:20093	14q32.33
AFAP1L2	Approved symbol	AFAP1L2	actin filament associated protein 1-like 2	HGNC:25901	10q26.11
AFMID	Approved symbol	AFMID	arylformamidase	HGNC:20910	17q25.3
AFP	Approved symbol	AFP	alpha-fetoprotein	HGNC:317	4q13.3
AGL	Approved symbol	AGL	amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase	HGNC:321	1p21
AGPAT2	Approved symbol	AGPAT2	1-acylglycerol-3-phosphate O-acyltransferase 2	HGNC:325	9q34.3
AGR2	Approved symbol	AGR2	anterior gradient 2	HGNC:328	7p21.3
AGR3	Approved symbol	AGR3	anterior gradient 3	HGNC:24167	7p21.1
AGT	Approved symbol	AGT	angiotensinogen (serpin peptidase inhibitor, clade A, member 8)	HGNC:333	1q42.2
AGT	Synonyms	AGXT	alanine-glyoxylate aminotransferase	HGNC:341	2q37.3
AHCY	Approved symbol	AHCY	adenosylhomocysteinase	HGNC:343	20q11.22
AHCYL1	Approved symbol	AHCYL1	adenosylhomocysteinase-like 1	HGNC:344	1p13
AHI1	Approved symbol	AHI1	Abelson helper integration site 1	HGNC:21575	6q23.2
AHNAK2	Approved symbol	AHNAK2	AHNAK nucleoprotein 2	HGNC:20125	14q32.33
AHSA2	Approved symbol	AHSA2	AHA1, activator of heat shock 90kDa protein ATPase homolog 2 (yeast)	HGNC:20437	2p14
AIDA	Approved symbol	AIDA	axin interactor, dorsalization associated	HGNC:25761	1q41
AIG1	Approved symbol	AIG1	androgen-induced 1	HGNC:21607	6q24.1
AJ420536	Unmatched				
AK000019	Unmatched				
AK000470	Unmatched				
AK055561	Unmatched				
AK095715	Unmatched				
AK126437	Unmatched				
AK130741	Unmatched				
AK4	Approved symbol	AK4	adenylate kinase 4	HGNC:363	1p31.3
AKIRIN1	Approved symbol	AKIRIN1	akirin 1	HGNC:25744	1p34.3
AKNA	Approved symbol	AKNA	AT-hook transcription factor	HGNC:24108	9q32
AKR7A2	Approved symbol	AKR7A2	aldo-keto reductase family 7, member A2 (aflatoxin aldehyde reductase)	HGNC:389	1p36.13
AKR7A3	Approved symbol	AKR7A3	aldo-keto reductase family 7, member A3 (aflatoxin aldehyde reductase)	HGNC:390	1p36.13
AKT1	Approved symbol	AKT1	v-akt murine thymoma viral oncogene homolog 1	HGNC:391	14q32.33
AL049980	Unmatched				
AL049987	Unmatched				
AL697923	Unmatched				
ALB	Approved symbol	ALB	albumin	HGNC:399	4q13.3
ALB	Synonyms	FBF1	Fas (TNFRSF6) binding factor 1	HGNC:24674	17q25.3
ALDH1A2	Approved symbol	ALDH1A2	aldehyde dehydrogenase 1 family, member A2	HGNC:15472	15q21.2
ALDH2	Approved symbol	ALDH2	aldehyde dehydrogenase 2 family (mitochondrial)	HGNC:404	12q24.12
ALDH3A2	Approved symbol	ALDH3A2	aldehyde dehydrogenase 3 family, member A2	HGNC:403	17p11.2
ALDH5A1	Approved symbol	ALDH5A1	aldehyde dehydrogenase 5 family, member A1	HGNC:408	6p22
ALDH6A1	Approved symbol	ALDH6A1	aldehyde dehydrogenase 6 family, member A1	HGNC:7179	14q24.3
ALDH7A1	Approved symbol	ALDH7A1	aldehyde dehydrogenase 7 family, member A1	HGNC:877	5q31
ALDOA	Approved symbol	ALDOA	aldolase A, fructose-bisphosphate	HGNC:414	16p11.2
ALG5	Approved symbol	ALG5	ALG5, dolichyl-phosphate beta-glucosyltransferase	HGNC:20266	13q13.1
ALG8	Approved symbol	ALG8	ALG8, alpha-1,3-glucosyltransferase	HGNC:23161	11q14.1
AMD1	Approved symbol	AMD1	adenosylmethionine decarboxylase 1	HGNC:457	6q21
AMFR	Approved symbol	AMFR	autocrine motility factor receptor, E3 ubiquitin protein ligase	HGNC:463	16q21
