Input	Match type	Approved symbol	Approved name	HGNC ID	Location
AA828835	Unmatched				
AACS	Approved symbol	AACS	acetoacetyl-CoA synthetase	HGNC:21298	12q24.31
AADAT	Approved symbol	AADAT	aminoadipate aminotransferase	HGNC:17929	4q33
AB074162	Unmatched				
ABAT	Approved symbol	ABAT	4-aminobutyrate aminotransferase	HGNC:23	16p13.2
ABCA1	Approved symbol	ABCA1	ATP-binding cassette, sub-family A (ABC1), member 1	HGNC:29	9q31
ABCA3	Approved symbol	ABCA3	ATP-binding cassette, sub-family A (ABC1), member 3	HGNC:33	16p13.3
ABCB9	Approved symbol	ABCB9	ATP-binding cassette, sub-family B (MDR/TAP), member 9	HGNC:50	12q24
ABCC4	Approved symbol	ABCC4	ATP-binding cassette, sub-family C (CFTR/MRP), member 4	HGNC:55	13q31
ABCC5	Approved symbol	ABCC5	ATP-binding cassette, sub-family C (CFTR/MRP), member 5	HGNC:56	3q27
ABCD1	Approved symbol	ABCD1	ATP-binding cassette, sub-family D (ALD), member 1	HGNC:61	Xq28
ABHD11	Approved symbol	ABHD11	abhydrolase domain containing 11	HGNC:16407	7q11.23
ABHD12	Approved symbol	ABHD12	abhydrolase domain containing 12	HGNC:15868	20p11.21
ABHD14A	Approved symbol	ABHD14A	abhydrolase domain containing 14A	HGNC:24538	3p21.1
ABLIM1	Approved symbol	ABLIM1	actin binding LIM protein 1	HGNC:78	10q25
ABLIM3	Approved symbol	ABLIM3	actin binding LIM protein family, member 3	HGNC:29132	5q33.1
ACAA2	Approved symbol	ACAA2	acetyl-CoA acyltransferase 2	HGNC:83	18q21
ACACA	Approved symbol	ACACA	acetyl-CoA carboxylase alpha	HGNC:84	17q12
ACACB	Approved symbol	ACACB	acetyl-CoA carboxylase beta	HGNC:85	12q24.1
ACADM	Approved symbol	ACADM	acyl-CoA dehydrogenase, C-4 to C-12 straight chain	HGNC:89	1p31
ACADSB	Approved symbol	ACADSB	acyl-CoA dehydrogenase, short/branched chain	HGNC:91	10q26.13
ACAT1	Approved symbol	ACAT1	acetyl-CoA acetyltransferase 1	HGNC:93	11q22.3
ACAT2	Approved symbol	ACAT2	acetyl-CoA acetyltransferase 2	HGNC:94	6q25.3
ACAT2	Synonyms	SOAT2	sterol O-acyltransferase 2	HGNC:11178	12q13.13
ACER3	Approved symbol	ACER3	alkaline ceramidase 3	HGNC:16066	11q13.5
ACLY	Approved symbol	ACLY	ATP citrate lyase	HGNC:115	17q21.2
ACN9	Previous symbol	SDHAF3	succinate dehydrogenase complex assembly factor 3	HGNC:21752	7q22.1
ACO1	Approved symbol	ACO1	aconitase 1, soluble	HGNC:117	9p21.1
ACOT1	Approved symbol	ACOT1	acyl-CoA thioesterase 1	HGNC:33128	14q24.3
ACOT2	Approved symbol	ACOT2	acyl-CoA thioesterase 2	HGNC:18431	14q24.3
