Input	Match type	Approved symbol	Approved name	HGNC ID	Location
AACS	Approved symbol	AACS	acetoacetyl-CoA synthetase	HGNC:21298	12q24.31
ABAT	Approved symbol	ABAT	4-aminobutyrate aminotransferase	HGNC:23	16p13.2
ABCA12	Approved symbol	ABCA12	ATP-binding cassette, sub-family A (ABC1), member 12	HGNC:14637	2q34
ABCA3	Approved symbol	ABCA3	ATP-binding cassette, sub-family A (ABC1), member 3	HGNC:33	16p13.3
ABCB9	Approved symbol	ABCB9	ATP-binding cassette, sub-family B (MDR/TAP), member 9	HGNC:50	12q24
ABCC11	Approved symbol	ABCC11	ATP-binding cassette, sub-family C (CFTR/MRP), member 11	HGNC:14639	16q12
ABHD11	Approved symbol	ABHD11	abhydrolase domain containing 11	HGNC:16407	7q11.23
ABHD12	Approved symbol	ABHD12	abhydrolase domain containing 12	HGNC:15868	20p11.21
ABLIM1	Approved symbol	ABLIM1	actin binding LIM protein 1	HGNC:78	10q25
ACADM	Approved symbol	ACADM	acyl-CoA dehydrogenase, C-4 to C-12 straight chain	HGNC:89	1p31
ACAP1	Approved symbol	ACAP1	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1	HGNC:16467	17p13.1
ACAT1	Approved symbol	ACAT1	acetyl-CoA acetyltransferase 1	HGNC:93	11q22.3
ACAT2	Approved symbol	ACAT2	acetyl-CoA acetyltransferase 2	HGNC:94	6q25.3
ACAT2	Synonyms	SOAT2	sterol O-acyltransferase 2	HGNC:11178	12q13.13
ACN9	Previous symbol	SDHAF3	succinate dehydrogenase complex assembly factor 3	HGNC:21752	7q22.1
ACOT4	Approved symbol	ACOT4	acyl-CoA thioesterase 4	HGNC:19748	14q24.1
ACOX3	Approved symbol	ACOX3	acyl-CoA oxidase 3, pristanoyl	HGNC:121	4p15.3
ACP1	Approved symbol	ACP1	acid phosphatase 1, soluble	HGNC:122	2p25
ACSL1	Approved symbol	ACSL1	acyl-CoA synthetase long-chain family member 1	HGNC:3569	4q35.1
ACSL3	Approved symbol	ACSL3	acyl-CoA synthetase long-chain family member 3	HGNC:3570	2q34-q35
ACTR3B	Approved symbol	ACTR3B	ARP3 actin-related protein 3 homolog B (yeast)	HGNC:17256	7q36.1
ACY1	Approved symbol	ACY1	aminoacylase 1	HGNC:177	3p21.2
ACYP2	Approved symbol	ACYP2	acylphosphatase 2, muscle type	HGNC:180	2p16.2
ADAM15	Approved symbol	ADAM15	ADAM metallopeptidase domain 15	HGNC:193	1q21.3
ADAM9	Approved symbol	ADAM9	ADAM metallopeptidase domain 9	HGNC:216	8p11.23
ADAR	Approved symbol	ADAR	adenosine deaminase, RNA-specific	HGNC:225	1q21.3
ADCY6	Approved symbol	ADCY6	adenylate cyclase 6	HGNC:237	12q12-q13
ADIPOR2	Approved symbol	ADIPOR2	adiponectin receptor 2	HGNC:24041	12p13
ADPRHL1	Approved symbol	ADPRHL1	ADP-ribosylhydrolase like 1	HGNC:21303	13q34
ADSS	Approved symbol	ADSS	adenylosuccinate synthase	HGNC:292	1q44
ADSSL1	Approved symbol	ADSSL1	adenylosuccinate synthase like 1	HGNC:20093	14q32.33
AF385432	Unmatched				
AFMID	Approved symbol	AFMID	arylformamidase	HGNC:20910	17q25.3
AGPAT2	Approved symbol	AGPAT2	1-acylglycerol-3-phosphate O-acyltransferase 2	HGNC:325	9q34.3
AHCYL1	Approved symbol	AHCYL1	adenosylhomocysteinase-like 1	HGNC:344	1p13
AHI1	Approved symbol	AHI1	Abelson helper integration site 1	HGNC:21575	6q23.2
AIF1L	Approved symbol	AIF1L	allograft inflammatory factor 1-like	HGNC:28904	9q34.13-q34.3
AIG1	Approved symbol	AIG1	androgen-induced 1	HGNC:21607	6q24.1
AK4	Approved symbol	AK4	adenylate kinase 4	HGNC:363	1p31.3
AKT1	Approved symbol	AKT1	v-akt murine thymoma viral oncogene homolog 1	HGNC:391	14q32.33
AL049980	Unmatched				
AL697923	Unmatched				
ALDH3A2	Approved symbol	ALDH3A2	aldehyde dehydrogenase 3 family, member A2	HGNC:403	17p11.2
ALDH6A1	Approved symbol	ALDH6A1	aldehyde dehydrogenase 6 family, member A1	HGNC:7179	14q24.3
ALDH7A1	Approved symbol	ALDH7A1	aldehyde dehydrogenase 7 family, member A1	HGNC:877	5q31
