Input	Match type	Approved symbol	Approved name	HGNC ID	Location
A4GALT	Approved symbol	A4GALT	alpha 1,4-galactosyltransferase	HGNC:18149	22q13.2
AAAS	Approved symbol	AAAS	achalasia, adrenocortical insufficiency, alacrimia	HGNC:13666	12q13
AADAC	Approved symbol	AADAC	arylacetamide deacetylase	HGNC:17	3q25.1
AAGAB	Approved symbol	AAGAB	alpha- and gamma-adaptin binding protein	HGNC:25662	15q23
AAMP	Approved symbol	AAMP	angio-associated, migratory cell protein	HGNC:18	2q
AARS	Approved symbol	AARS	alanyl-tRNA synthetase	HGNC:20	16q22.1
AARS2	Approved symbol	AARS2	alanyl-tRNA synthetase 2, mitochondrial	HGNC:21022	6p21.1
AARSD1	Approved symbol	AARSD1	alanyl-tRNA synthetase domain containing 1	HGNC:28417	17q21.31
AASDH	Approved symbol	AASDH	aminoadipate-semialdehyde dehydrogenase	HGNC:23993	4q12
AASDHPPT	Approved symbol	AASDHPPT	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	HGNC:14235	11q22
AATF	Approved symbol	AATF	apoptosis antagonizing transcription factor	HGNC:19235	17q12
ABCA2	Approved symbol	ABCA2	ATP-binding cassette, sub-family A (ABC1), member 2	HGNC:32	9q34
ABCA4	Approved symbol	ABCA4	ATP-binding cassette, sub-family A (ABC1), member 4	HGNC:34	1p22
ABCA7	Approved symbol	ABCA7	ATP-binding cassette, sub-family A (ABC1), member 7	HGNC:37	19p13.3
ABCB5	Approved symbol	ABCB5	ATP-binding cassette, sub-family B (MDR/TAP), member 5	HGNC:46	7p14
ABCB8	Approved symbol	ABCB8	ATP-binding cassette, sub-family B (MDR/TAP), member 8	HGNC:49	7q36.1
ABCB9	Approved symbol	ABCB9	ATP-binding cassette, sub-family B (MDR/TAP), member 9	HGNC:50	12q24
ABCC1	Approved symbol	ABCC1	ATP-binding cassette, sub-family C (CFTR/MRP), member 1	HGNC:51	16p13.1
ABCC10	Approved symbol	ABCC10	ATP-binding cassette, sub-family C (CFTR/MRP), member 10	HGNC:52	6p12.3
ABCC12	Approved symbol	ABCC12	ATP-binding cassette, sub-family C (CFTR/MRP), member 12	HGNC:14640	16q12.1
ABCC5	Approved symbol	ABCC5	ATP-binding cassette, sub-family C (CFTR/MRP), member 5	HGNC:56	3q27
ABCC6	Approved symbol	ABCC6	ATP-binding cassette, sub-family C (CFTR/MRP), member 6	HGNC:57	16p13.11
ABCD4	Approved symbol	ABCD4	ATP-binding cassette, sub-family D (ALD), member 4	HGNC:68	14q24
ABCE1	Approved symbol	ABCE1	ATP-binding cassette, sub-family E (OABP), member 1	HGNC:69	4q31
ABCF1	Approved symbol	ABCF1	ATP-binding cassette, sub-family F (GCN20), member 1	HGNC:70	6p21.33
ABCF2	Approved symbol	ABCF2	ATP-binding cassette, sub-family F (GCN20), member 2	HGNC:71	7q36.1
ABCF3	Approved symbol	ABCF3	ATP-binding cassette, sub-family F (GCN20), member 3	HGNC:72	3q27.1
ABCG8	Approved symbol	ABCG8	ATP-binding cassette, sub-family G (WHITE), member 8	HGNC:13887	2p21
ABHD10	Approved symbol	ABHD10	abhydrolase domain containing 10	HGNC:25656	3q13.2
ABHD12	Approved symbol	ABHD12	abhydrolase domain containing 12	HGNC:15868	20p11.21
ABHD13	Approved symbol	ABHD13	abhydrolase domain containing 13	HGNC:20293	13q33.2
ABHD14A	Approved symbol	ABHD14A	abhydrolase domain containing 14A	HGNC:24538	3p21.1
ABHD14B	Approved symbol	ABHD14B	abhydrolase domain containing 14B	HGNC:28235	3p21.2
ABHD15	Approved symbol	ABHD15	abhydrolase domain containing 15	HGNC:26971	17q11.2
ABHD2	Approved symbol	ABHD2	abhydrolase domain containing 2	HGNC:18717	15q26.1
ABHD4	Approved symbol	ABHD4	abhydrolase domain containing 4	HGNC:20154	14q11.1
ABHD5	Approved symbol	ABHD5	abhydrolase domain containing 5	HGNC:21396	3p21.33
ABHD6	Approved symbol	ABHD6	abhydrolase domain containing 6	HGNC:21398	3p21.2
ABHD8	Approved symbol	ABHD8	abhydrolase domain containing 8	HGNC:23759	19p13.12
ABI1	Approved symbol	ABI1	abl-interactor 1	HGNC:11320	10p12.1
ABI2	Approved symbol	ABI2	abl-interactor 2	HGNC:24011	2q33
ABL1	Approved symbol	ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase	HGNC:76	9q34.1
ABL2	Approved symbol	ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase	HGNC:77	1q25.2
ABO	Approved symbol	ABO	ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)	HGNC:79	9q34.2
ABT1	Approved symbol	ABT1	activator of basal transcription 1	HGNC:17369	6p21.31
ABTB1	Approved symbol	ABTB1	ankyrin repeat and BTB (POZ) domain containing 1	HGNC:18275	3q21
ACAA1	Approved symbol	ACAA1	acetyl-CoA acyltransferase 1	HGNC:82	3p22.2
ACAA2	Approved symbol	ACAA2	acetyl-CoA acyltransferase 2	HGNC:83	18q21
ACACA	Approved symbol	ACACA	acetyl-CoA carboxylase alpha	HGNC:84	17q12
ACAD11	Approved symbol	ACAD11	acyl-CoA dehydrogenase family, member 11	HGNC:30211	3q22.1
ACAD8	Approved symbol	ACAD8	acyl-CoA dehydrogenase family, member 8	HGNC:87	11q25
ACAD9	Approved symbol	ACAD9	acyl-CoA dehydrogenase family, member 9	HGNC:21497	3q21.3
ACADVL	Approved symbol	ACADVL	acyl-CoA dehydrogenase, very long chain	HGNC:92	17p13.1
ACAP1	Approved symbol	ACAP1	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1	HGNC:16467	17p13.1
