Input	Match type	Approved symbol	Approved name	HGNC ID	Location
A1BG	Approved symbol	A1BG	alpha-1-B glycoprotein	HGNC:5	19q13.43
AAAS	Approved symbol	AAAS	achalasia, adrenocortical insufficiency, alacrimia	HGNC:13666	12q13
AADAC	Approved symbol	AADAC	arylacetamide deacetylase	HGNC:17	3q25.1
AADACL3	Approved symbol	AADACL3	arylacetamide deacetylase-like 3	HGNC:32037	1p36.21
AAGAB	Approved symbol	AAGAB	alpha- and gamma-adaptin binding protein	HGNC:25662	15q23
AAK1	Approved symbol	AAK1	AP2 associated kinase 1	HGNC:19679	2p13.3
AAMP	Approved symbol	AAMP	angio-associated, migratory cell protein	HGNC:18	2q
AANAT	Approved symbol	AANAT	aralkylamine N-acetyltransferase	HGNC:19	17q25.1
AARS	Approved symbol	AARS	alanyl-tRNA synthetase	HGNC:20	16q22.1
AARS2	Approved symbol	AARS2	alanyl-tRNA synthetase 2, mitochondrial	HGNC:21022	6p21.1
AARSD1	Approved symbol	AARSD1	alanyl-tRNA synthetase domain containing 1	HGNC:28417	17q21.31
AASDHPPT	Approved symbol	AASDHPPT	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	HGNC:14235	11q22
AATF	Approved symbol	AATF	apoptosis antagonizing transcription factor	HGNC:19235	17q12
ABCA4	Approved symbol	ABCA4	ATP-binding cassette, sub-family A (ABC1), member 4	HGNC:34	1p22
ABCA7	Approved symbol	ABCA7	ATP-binding cassette, sub-family A (ABC1), member 7	HGNC:37	19p13.3
ABCB1	Approved symbol	ABCB1	ATP-binding cassette, sub-family B (MDR/TAP), member 1	HGNC:40	7q21.12
ABCB10	Approved symbol	ABCB10	ATP-binding cassette, sub-family B (MDR/TAP), member 10	HGNC:41	1q32
ABCB6	Approved symbol	ABCB6	ATP-binding cassette, sub-family B (MDR/TAP), member 6 (Langereis blood group)	HGNC:47	2q36
ABCB8	Approved symbol	ABCB8	ATP-binding cassette, sub-family B (MDR/TAP), member 8	HGNC:49	7q36.1
ABCC2	Approved symbol	ABCC2	ATP-binding cassette, sub-family C (CFTR/MRP), member 2	HGNC:53	10q24
ABCD3	Approved symbol	ABCD3	ATP-binding cassette, sub-family D (ALD), member 3	HGNC:67	1p21.3
ABCD4	Approved symbol	ABCD4	ATP-binding cassette, sub-family D (ALD), member 4	HGNC:68	14q24
ABCF1	Approved symbol	ABCF1	ATP-binding cassette, sub-family F (GCN20), member 1	HGNC:70	6p21.33
ABCF2	Approved symbol	ABCF2	ATP-binding cassette, sub-family F (GCN20), member 2	HGNC:71	7q36.1
ABCF3	Approved symbol	ABCF3	ATP-binding cassette, sub-family F (GCN20), member 3	HGNC:72	3q27.1
ABCG4	Approved symbol	ABCG4	ATP-binding cassette, sub-family G (WHITE), member 4	HGNC:13884	11q23
ABHD11	Approved symbol	ABHD11	abhydrolase domain containing 11	HGNC:16407	7q11.23
ABHD12	Approved symbol	ABHD12	abhydrolase domain containing 12	HGNC:15868	20p11.21
ABHD13	Approved symbol	ABHD13	abhydrolase domain containing 13	HGNC:20293	13q33.2
ABHD14A	Approved symbol	ABHD14A	abhydrolase domain containing 14A	HGNC:24538	3p21.1
ABHD15	Approved symbol	ABHD15	abhydrolase domain containing 15	HGNC:26971	17q11.2
ABHD3	Approved symbol	ABHD3	abhydrolase domain containing 3	HGNC:18718	18q11.1
