Input	Match type	Approved symbol	Approved name	HGNC ID	Location
AACS	Approved symbol	AACS	acetoacetyl-CoA synthetase	HGNC:21298	12q24.31
ABAT	Approved symbol	ABAT	4-aminobutyrate aminotransferase	HGNC:23	16p13.2
ABCA1	Approved symbol	ABCA1	ATP-binding cassette, sub-family A (ABC1), member 1	HGNC:29	9q31
ABCA3	Approved symbol	ABCA3	ATP-binding cassette, sub-family A (ABC1), member 3	HGNC:33	16p13.3
ABCC11	Approved symbol	ABCC11	ATP-binding cassette, sub-family C (CFTR/MRP), member 11	HGNC:14639	16q12
ABCC4	Approved symbol	ABCC4	ATP-binding cassette, sub-family C (CFTR/MRP), member 4	HGNC:55	13q31
ABCC8	Approved symbol	ABCC8	ATP-binding cassette, sub-family C (CFTR/MRP), member 8	HGNC:59	11p15.1
ABHD12	Approved symbol	ABHD12	abhydrolase domain containing 12	HGNC:15868	20p11.21
ABHD14A	Approved symbol	ABHD14A	abhydrolase domain containing 14A	HGNC:24538	3p21.1
ABLIM1	Approved symbol	ABLIM1	actin binding LIM protein 1	HGNC:78	10q25
ACADM	Approved symbol	ACADM	acyl-CoA dehydrogenase, C-4 to C-12 straight chain	HGNC:89	1p31
ACAP1	Approved symbol	ACAP1	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1	HGNC:16467	17p13.1
ACAT2	Approved symbol	ACAT2	acetyl-CoA acetyltransferase 2	HGNC:94	6q25.3
ACAT2	Synonyms	SOAT2	sterol O-acyltransferase 2	HGNC:11178	12q13.13
ACN9	Previous symbol	SDHAF3	succinate dehydrogenase complex assembly factor 3	HGNC:21752	7q22.1
ACO1	Approved symbol	ACO1	aconitase 1, soluble	HGNC:117	9p21.1
ACOT7	Approved symbol	ACOT7	acyl-CoA thioesterase 7	HGNC:24157	1p36
ACOX3	Approved symbol	ACOX3	acyl-CoA oxidase 3, pristanoyl	HGNC:121	4p15.3
ACP1	Approved symbol	ACP1	acid phosphatase 1, soluble	HGNC:122	2p25
ACSL1	Approved symbol	ACSL1	acyl-CoA synthetase long-chain family member 1	HGNC:3569	4q35.1
ACTN1	Approved symbol	ACTN1	actinin, alpha 1	HGNC:163	14q24.1
ACTR3B	Approved symbol	ACTR3B	ARP3 actin-related protein 3 homolog B (yeast)	HGNC:17256	7q36.1
ACY1	Approved symbol	ACY1	aminoacylase 1	HGNC:177	3p21.2
ACYP2	Approved symbol	ACYP2	acylphosphatase 2, muscle type	HGNC:180	2p16.2
ADAM9	Approved symbol	ADAM9	ADAM metallopeptidase domain 9	HGNC:216	8p11.23
ADCK3	Approved symbol	ADCK3	aarF domain containing kinase 3	HGNC:16812	1q42.11
ADCY6	Approved symbol	ADCY6	adenylate cyclase 6	HGNC:237	12q12-q13
ADCY9	Approved symbol	ADCY9	adenylate cyclase 9	HGNC:240	16p13.3
ADD3	Approved symbol	ADD3	adducin 3 (gamma)	HGNC:245	10q25.2
ADIPOR2	Approved symbol	ADIPOR2	adiponectin receptor 2	HGNC:24041	12p13
ADPRHL1	Approved symbol	ADPRHL1	ADP-ribosylhydrolase like 1	HGNC:21303	13q34
ADSS	Approved symbol	ADSS	adenylosuccinate synthase	HGNC:292	1q44
ADSSL1	Approved symbol	ADSSL1	adenylosuccinate synthase like 1	HGNC:20093	14q32.33
AFMID	Approved symbol	AFMID	arylformamidase	HGNC:20910	17q25.3
AGPAT2	Approved symbol	AGPAT2	1-acylglycerol-3-phosphate O-acyltransferase 2	HGNC:325	9q34.3
AHCY	Approved symbol	AHCY	adenosylhomocysteinase	HGNC:343	20q11.22
AHCYL1	Approved symbol	AHCYL1	adenosylhomocysteinase-like 1	HGNC:344	1p13
AHI1	Approved symbol	AHI1	Abelson helper integration site 1	HGNC:21575	6q23.2
AHNAK	Approved symbol	AHNAK	AHNAK nucleoprotein	HGNC:347	11q12-q13
AIDA	Approved symbol	AIDA	axin interactor, dorsalization associated	HGNC:25761	1q41
AIF1L	Approved symbol	AIF1L	allograft inflammatory factor 1-like	HGNC:28904	9q34.13-q34.3
AIG1	Approved symbol	AIG1	androgen-induced 1	HGNC:21607	6q24.1
AK128829	Unmatched				
AK130741	Unmatched				
AK4	Approved symbol	AK4	adenylate kinase 4	HGNC:363	1p31.3
AKIRIN1	Approved symbol	AKIRIN1	akirin 1	HGNC:25744	1p34.3
