Input	Match type	Approved symbol	Approved name	HGNC ID	Location
AACS	Approved symbol	AACS	acetoacetyl-CoA synthetase	HGNC:21298	12q24.31
AADAT	Approved symbol	AADAT	aminoadipate aminotransferase	HGNC:17929	4q33
ABAT	Approved symbol	ABAT	4-aminobutyrate aminotransferase	HGNC:23	16p13.2
ABCA3	Approved symbol	ABCA3	ATP-binding cassette, sub-family A (ABC1), member 3	HGNC:33	16p13.3
ABCB9	Approved symbol	ABCB9	ATP-binding cassette, sub-family B (MDR/TAP), member 9	HGNC:50	12q24
ABCC11	Approved symbol	ABCC11	ATP-binding cassette, sub-family C (CFTR/MRP), member 11	HGNC:14639	16q12
ABCC3	Approved symbol	ABCC3	ATP-binding cassette, sub-family C (CFTR/MRP), member 3	HGNC:54	17q21
ABCC5	Approved symbol	ABCC5	ATP-binding cassette, sub-family C (CFTR/MRP), member 5	HGNC:56	3q27
ABHD11	Approved symbol	ABHD11	abhydrolase domain containing 11	HGNC:16407	7q11.23
ABHD12	Approved symbol	ABHD12	abhydrolase domain containing 12	HGNC:15868	20p11.21
ABHD14A	Approved symbol	ABHD14A	abhydrolase domain containing 14A	HGNC:24538	3p21.1
ABHD3	Approved symbol	ABHD3	abhydrolase domain containing 3	HGNC:18718	18q11.1
ABLIM1	Approved symbol	ABLIM1	actin binding LIM protein 1	HGNC:78	10q25
ACAA2	Approved symbol	ACAA2	acetyl-CoA acyltransferase 2	HGNC:83	18q21
ACACA	Approved symbol	ACACA	acetyl-CoA carboxylase alpha	HGNC:84	17q12
ACADM	Approved symbol	ACADM	acyl-CoA dehydrogenase, C-4 to C-12 straight chain	HGNC:89	1p31
ACAT1	Approved symbol	ACAT1	acetyl-CoA acetyltransferase 1	HGNC:93	11q22.3
ACAT2	Approved symbol	ACAT2	acetyl-CoA acetyltransferase 2	HGNC:94	6q25.3
ACAT2	Synonyms	SOAT2	sterol O-acyltransferase 2	HGNC:11178	12q13.13
ACER3	Approved symbol	ACER3	alkaline ceramidase 3	HGNC:16066	11q13.5
ACLY	Approved symbol	ACLY	ATP citrate lyase	HGNC:115	17q21.2
ACN9	Previous symbol	SDHAF3	succinate dehydrogenase complex assembly factor 3	HGNC:21752	7q22.1
ACO1	Approved symbol	ACO1	aconitase 1, soluble	HGNC:117	9p21.1
ACOT1	Approved symbol	ACOT1	acyl-CoA thioesterase 1	HGNC:33128	14q24.3
