Input	Match type	Approved symbol	Approved name	HGNC ID	Location
A1BG	Approved symbol	A1BG	alpha-1-B glycoprotein	HGNC:5	19q13.43
A4GALT	Approved symbol	A4GALT	alpha 1,4-galactosyltransferase	HGNC:18149	22q13.2
AAAS	Approved symbol	AAAS	achalasia, adrenocortical insufficiency, alacrimia	HGNC:13666	12q13
AACS	Approved symbol	AACS	acetoacetyl-CoA synthetase	HGNC:21298	12q24.31
AADAC	Approved symbol	AADAC	arylacetamide deacetylase	HGNC:17	3q25.1
AADACL3	Approved symbol	AADACL3	arylacetamide deacetylase-like 3	HGNC:32037	1p36.21
AAGAB	Approved symbol	AAGAB	alpha- and gamma-adaptin binding protein	HGNC:25662	15q23
AAK1	Approved symbol	AAK1	AP2 associated kinase 1	HGNC:19679	2p13.3
AAMP	Approved symbol	AAMP	angio-associated, migratory cell protein	HGNC:18	2q
AANAT	Approved symbol	AANAT	aralkylamine N-acetyltransferase	HGNC:19	17q25.1
AARS	Approved symbol	AARS	alanyl-tRNA synthetase	HGNC:20	16q22.1
AARS2	Approved symbol	AARS2	alanyl-tRNA synthetase 2, mitochondrial	HGNC:21022	6p21.1
AARSD1	Approved symbol	AARSD1	alanyl-tRNA synthetase domain containing 1	HGNC:28417	17q21.31
AASDH	Approved symbol	AASDH	aminoadipate-semialdehyde dehydrogenase	HGNC:23993	4q12
AASDHPPT	Approved symbol	AASDHPPT	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	HGNC:14235	11q22
AATF	Approved symbol	AATF	apoptosis antagonizing transcription factor	HGNC:19235	17q12
ABCA13	Approved symbol	ABCA13	ATP-binding cassette, sub-family A (ABC1), member 13	HGNC:14638	7p12.3
ABCA4	Approved symbol	ABCA4	ATP-binding cassette, sub-family A (ABC1), member 4	HGNC:34	1p22
ABCA7	Approved symbol	ABCA7	ATP-binding cassette, sub-family A (ABC1), member 7	HGNC:37	19p13.3
ABCB10	Approved symbol	ABCB10	ATP-binding cassette, sub-family B (MDR/TAP), member 10	HGNC:41	1q32
